quantityOrdered,priceEach,orderDate,requiredDate,shippedDate,orderStatus,orderComments,productName,category,productScale,productVendor,quantityInStock,buyPrice,MSRP,customerName,phone_customer,city_customer,country_customer,creditLimit,employeeEmail,jobTitle,city_office,phone_office,country_office,territory,employeeName,contactName,address_office,address_customer
26,214.3,2018-01-29,2018-02-07,2018-02-02,Shipped,,1952 Alpine Renault 1300,Classic Cars,1:10,Classic Metal Creations,7305,98.58,214.3,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
42,119.67,2018-01-29,2018-02-07,2018-02-02,Shipped,,1962 LanciaA Delta 16V,Classic Cars,1:10,Second Gear Diecast,6791,103.42,147.74,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
27,121.64,2018-01-29,2018-02-07,2018-02-02,Shipped,,1958 Setra Bus,Trucks and Buses,1:12,Welly Diecast Productions,1579,77.9,136.67,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
35,94.5,2018-01-29,2018-02-07,2018-02-02,Shipped,,1940 Ford Pickup Truck,Trucks and Buses,1:18,Studio M Art Models,2613,58.33,116.67,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
22,58.34,2018-01-29,2018-02-07,2018-02-02,Shipped,,1926 Ford Fire Engine,Trucks and Buses,1:18,Carousel DieCast Legends,2019,24.92,60.77,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
27,92.19,2018-01-29,2018-02-07,2018-02-02,Shipped,,1913 Ford Model T Speedster,Vintage Cars,1:18,Carousel DieCast Legends,4189,60.78,101.31,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
35,61.84,2018-01-29,2018-02-07,2018-02-02,Shipped,,1934 Ford V8 Coupe,Vintage Cars,1:18,Min Lin Diecast,5649,34.35,62.46,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
25,86.92,2018-01-29,2018-02-07,2018-02-02,Shipped,,18th Century Vintage Horse Carriage,Vintage Cars,1:18,Red Start Diecast,5992,60.74,104.72,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
46,86.31,2018-01-29,2018-02-07,2018-02-02,Shipped,,1917 Maxwell Touring Car,Vintage Cars,1:18,Exoto Designs,7913,57.54,99.21,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
36,98.07,2018-01-29,2018-02-07,2018-02-02,Shipped,,1940s Ford truck,Trucks and Buses,1:18,Motor City Art Classics,3128,84.76,121.08,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
41,40.75,2018-01-29,2018-02-07,2018-02-02,Shipped,,1939 Cadillac Limousine,Vintage Cars,1:18,Studio M Art Models,6645,23.14,50.31,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
36,107.34,2018-01-29,2018-02-07,2018-02-02,Shipped,,1962 Volkswagen Microbus,Trucks and Buses,1:24,Autoart Studio Design,2327,61.34,127.79,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
25,88.62,2018-01-29,2018-02-07,2018-02-02,Shipped,,1936 Chrysler Airflow,Vintage Cars,1:24,Second Gear Diecast,4710,57.46,97.39,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
31,92.46,2018-01-29,2018-02-07,2018-02-02,Shipped,,1980’s GM Manhattan Express,Trucks and Buses,1:32,Motor City Art Classics,5099,53.93,96.31,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
45,63.35,2018-01-29,2018-02-07,2018-02-02,Shipped,,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,1:32,Red Start Diecast,814,33.61,64.64,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
42,94.07,2018-01-29,2018-02-07,2018-02-02,Shipped,,1982 Camaro Z28,Classic Cars,1:18,Carousel DieCast Legends,6934,46.53,101.15,Baane Mini Imports,,Stavern,Norway,81700,bjones@classicmodelcars.com,Sales Rep,London,+44 20 7877 2041,UK,EMEA,Barry Jones,Jonas  Bergulfsen,25 Old Broad Street Level 7 EC2N 1HN,Erling Skakkes gate 78  4110
34,131.44,2018-01-31,2018-02-09,2018-02-01,Shipped,,1969 Corvair Monza,Classic Cars,1:18,Welly Diecast Productions,6906,89.14,151.08,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
41,111.39,2018-01-31,2018-02-09,2018-02-01,Shipped,,1957 Chevy Pickup,Trucks and Buses,1:12,Exoto Designs,6125,55.7,118.5,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
24,135.9,2018-01-31,2018-02-09,2018-02-01,Shipped,,1998 Chrysler Plymouth Prowler,Classic Cars,1:18,Gearbox Collectibles,4724,101.51,163.73,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
29,122.73,2018-01-31,2018-02-09,2018-02-01,Shipped,,1964 Mercedes Tour Bus,Trucks and Buses,1:18,Unimax Art Galleries,8258,74.86,122.73,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
23,165.95,2018-01-31,2018-02-09,2018-02-01,Shipped,,1992 Ferrari 360 Spider red,Classic Cars,1:18,Unimax Art Galleries,8347,77.9,169.34,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
38,119.2,2018-01-31,2018-02-09,2018-02-01,Shipped,,1970 Triumph Spitfire,Classic Cars,1:18,Min Lin Diecast,5545,91.92,143.62,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
35,52.02,2018-01-31,2018-02-09,2018-02-01,Shipped,,1970 Dodge Coronet,Classic Cars,1:24,Highway 66 Mini Classics,4074,32.37,57.8,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
44,30.41,2018-01-31,2018-02-09,2018-02-01,Shipped,,1958 Chevy Corvette Limited Edition,Classic Cars,1:24,Carousel DieCast Legends,2542,15.91,35.36,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
26,106.45,2018-01-31,2018-02-09,2018-02-01,Shipped,,1992 Porsche Cayenne Turbo Silver,Classic Cars,1:24,Exoto Designs,6582,69.78,118.28,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
35,51.95,2018-01-31,2018-02-09,2018-02-01,Shipped,,1954 Greyhound Scenicruiser,Trucks and Buses,1:32,Classic Metal Creations,2874,25.98,54.11,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
49,56.55,2018-01-31,2018-02-09,2018-02-01,Shipped,,1950s Chicago Surface Lines Streetcar,Trains,1:32,Gearbox Collectibles,8601,26.72,62.14,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
33,114.59,2018-01-31,2018-02-09,2018-02-01,Shipped,,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,1:50,Highway 66 Mini Classics,1016,68.29,115.75,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
32,53.31,2018-01-31,2018-02-09,2018-02-01,Shipped,,1962 City of Detroit Streetcar,Trains,1:50,Classic Metal Creations,1645,37.49,58.58,Euro+ Shopping Channel,+34 915 55 94 44,Madrid,Spain,227600,ghernande@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Gerard Hernandez,Diego  Freyre,43 Rue Jouffroy Dabbans  75017,"C/ Moralzarzal, 86  28034"
50,127.84,2018-02-11,2018-02-21,2018-02-12,Shipped,,1972 Alfa Romeo GTA,Classic Cars,1:10,Motor City Art Classics,3252,85.68,136.0,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
41,205.72,2018-02-11,2018-02-21,2018-02-12,Shipped,,2001 Ferrari Enzo,Classic Cars,1:12,Second Gear Diecast,3619,95.59,207.8,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
29,141.88,2018-02-11,2018-02-21,2018-02-12,Shipped,,1969 Ford Falcon,Classic Cars,1:12,Second Gear Diecast,1049,83.05,173.02,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
22,136.59,2018-02-11,2018-02-21,2018-02-12,Shipped,,1903 Ford Model A,Vintage Cars,1:18,Unimax Art Galleries,3913,68.3,136.59,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
38,87.73,2018-02-11,2018-02-21,2018-02-12,Shipped,,Collectable Wooden Train,Trains,1:18,Carousel DieCast Legends,6450,67.56,100.84,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
41,75.48,2018-02-11,2018-02-21,2018-02-12,Shipped,,1904 Buick Runabout,Vintage Cars,1:18,Exoto Designs,8290,52.66,87.77,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
43,117.97,2018-02-11,2018-02-21,2018-02-12,Shipped,,18th century schooner,Ships,1:24,Carousel DieCast Legends,1898,82.34,122.89,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
44,73.46,2018-02-11,2018-02-21,2018-02-12,Shipped,,1912 Ford Model T Delivery Wagon,Vintage Cars,1:24,Min Lin Diecast,9173,46.91,88.51,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
50,75.47,2018-02-11,2018-02-21,2018-02-12,Shipped,,1940 Ford Delivery Sedan,Vintage Cars,1:24,Carousel DieCast Legends,6621,48.64,83.86,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
41,54.0,2018-02-11,2018-02-21,2018-02-12,Shipped,,The Schooner Bluenose,Ships,1:700,Autoart Studio Design,1897,34.0,66.67,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
29,86.61,2018-02-11,2018-02-21,2018-02-12,Shipped,,The Mayflower,Ships,1:700,Studio M Art Models,737,43.3,86.61,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
31,60.72,2018-02-11,2018-02-21,2018-02-12,Shipped,,The USS Constitution Ship,Ships,1:700,Red Start Diecast,7083,33.97,72.28,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
39,92.16,2018-02-11,2018-02-21,2018-02-12,Shipped,,The Titanic,Ships,1:700,Carousel DieCast Legends,1956,51.09,100.17,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
22,99.31,2018-02-11,2018-02-21,2018-02-12,Shipped,,The Queen Mary,Ships,1:700,Welly Diecast Productions,5088,53.63,99.31,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
25,44.77,2018-02-11,2018-02-21,2018-02-12,Shipped,,Pont Yacht,Ships,1:72,Unimax Art Galleries,414,33.3,54.6,Danish Wholesale Imports,+45 31 12 35 55,Kobenhavn,Denmark,83400,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Jytte  Petersen,43 Rue Jouffroy Dabbans  75017,Vinbæltet 34  1734
36,134.04,2018-02-17,2018-02-24,2018-02-21,Shipped,,1980s Black Hawk Helicopter,Planes,1:18,Red Start Diecast,5330,77.27,157.69,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
34,81.1,2018-02-17,2018-02-24,2018-02-21,Shipped,,P-51-D Mustang,Planes,1:72,Gearbox Collectibles,992,49.0,84.48,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
41,80.86,2018-02-17,2018-02-24,2018-02-21,Shipped,,1999 Yamaha Speed Boat,Ships,1:18,Min Lin Diecast,4259,51.61,86.02,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
41,94.22,2018-02-17,2018-02-24,2018-02-21,Shipped,,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,1:18,Exoto Designs,2378,64.58,105.87,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
28,107.23,2018-02-17,2018-02-24,2018-02-21,Shipped,,1928 British Royal Navy Airplane,Planes,1:24,Classic Metal Creations,3627,66.74,109.42,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
49,65.77,2018-02-17,2018-02-24,2018-02-21,Shipped,,1900s Vintage Bi-Plane,Planes,1:24,Autoart Studio Design,5942,34.25,68.51,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
31,55.89,2018-02-17,2018-02-24,2018-02-21,Shipped,,1937 Horch 930V Limousine,Vintage Cars,1:24,Autoart Studio Design,2902,26.3,65.75,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
50,55.96,2018-02-17,2018-02-24,2018-02-21,Shipped,,Corsair F4U ( Bird Cage),Planes,1:24,Second Gear Diecast,6812,29.34,68.24,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
26,71.0,2018-02-17,2018-02-24,2018-02-21,Shipped,,1900s Vintage Tri-Plane,Planes,1:24,Unimax Art Galleries,2756,36.23,72.45,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
33,65.35,2018-02-17,2018-02-24,2018-02-21,Shipped,,1928 Ford Phaeton Deluxe,Vintage Cars,1:32,Highway 66 Mini Classics,136,33.02,68.79,Rovelli Gifts,+39 035 640555,Bergamo,Italy,119600,pcastillo@classicmodelcars.com,Sales Rep,Paris,+33 1 47 23 44 04,France,EMEA,Pamela Castillo,Giovanni  Rovelli,43 Rue Jouffroy Dabbans  75017,Via Ludovico il Moro 22  24100
